"";"ref.date";"Confiança do Consumidor"
"1";2000-01-01;100,91
"2";2000-02-01;107,34
"3";2000-03-01;100,09
"4";2000-04-01;93,93
"5";2000-05-01;89,44
"6";2000-06-01;94,54
"7";2000-07-01;98,31
"8";2000-08-01;91,2
"9";2000-09-01;92,02
"10";2000-10-01;98,51
"11";2000-11-01;99,37
"12";2000-12-01;100,82
"13";2001-01-01;111,34
"14";2001-02-01;113,47
"15";2001-03-01;108,55
"16";2001-04-01;105,22
"17";2001-05-01;102,4
"18";2001-06-01;79,44
"19";2001-07-01;87,2
"20";2001-08-01;86,38
"21";2001-09-01;90,74
"22";2001-10-01;80,65
"23";2001-11-01;78,31
"24";2001-12-01;86,28
"25";2002-01-01;87,04
"26";2002-02-01;90,66
"27";2002-03-01;91,3
"28";2002-04-01;96
"29";2002-05-01;96,15
"30";2002-06-01;84,4
"31";2002-07-01;93,81
"32";2002-08-01;89,8
"33";2002-09-01;99,22
"34";2002-10-01;94,91
"35";2002-11-01;98,68
"36";2002-12-01;102,92
"37";2003-01-01;102,97
"38";2003-02-01;103,53
"39";2003-03-01;101,89
"40";2003-04-01;107,66
"41";2003-05-01;112,04
"42";2003-06-01;116,81
"43";2003-07-01;111,47
"44";2003-08-01;109,37
"45";2003-09-01;106,41
"46";2003-10-01;104,72
"47";2003-11-01;108,68
"48";2003-12-01;115,33
"49";2004-01-01;124,16
"50";2004-02-01;123,4
"51";2004-03-01;113,29
"52";2004-04-01;108,01
"53";2004-05-01;124,23
"54";2004-06-01;117,07
"55";2004-07-01;118,5
"56";2004-08-01;120,72
"57";2004-09-01;128,43
"58";2004-10-01;141,92
"59";2004-11-01;144,96
"60";2004-12-01;140,41
"61";2005-01-01;145,02
"62";2005-02-01;146,48
"63";2005-03-01;144,95
"64";2005-04-01;141,75
"65";2005-05-01;133,62
"66";2005-06-01;132,74
"67";2005-07-01;133,21
"68";2005-08-01;124,89
"69";2005-09-01;109,24
"70";2005-10-01;107,65
"71";2005-11-01;117,23
"72";2005-12-01;130,16
"73";2006-01-01;131,52
"74";2006-02-01;138,03
"75";2006-03-01;137,75
"76";2006-04-01;132,38
"77";2006-05-01;138,2
"78";2006-06-01;134,4
"79";2006-07-01;134,17
"80";2006-08-01;128,24
"81";2006-09-01;131,36
"82";2006-10-01;132,29
"83";2006-11-01;134,62
"84";2006-12-01;127,5
"85";2007-01-01;133,89
"86";2007-02-01;134,39
"87";2007-03-01;127,87
"88";2007-04-01;127,97
"89";2007-05-01;126,49
"90";2007-06-01;129,77
"91";2007-07-01;130,12
"92";2007-08-01;130,3
"93";2007-09-01;131,81
"94";2007-10-01;133,34
"95";2007-11-01;136,25
"96";2007-12-01;139,9
"97";2008-01-01;142,61
"98";2008-02-01;146,9
"99";2008-03-01;147,72
"100";2008-04-01;148,56
"101";2008-05-01;147,36
"102";2008-06-01;142,59
"103";2008-07-01;131,23
"104";2008-08-01;137,05
"105";2008-09-01;141,28
"106";2008-10-01;140,46
"107";2008-11-01;133,85
"108";2008-12-01;128,66
"109";2009-01-01;125,16
"110";2009-02-01;134,12
"111";2009-03-01;130,88
"112";2009-04-01;126,33
"113";2009-05-01;128,95
"114";2009-06-01;139,99
"115";2009-07-01;145,01
"116";2009-08-01;145,61
"117";2009-09-01;148,81
"118";2009-10-01;157,15
"119";2009-11-01;155,79
"120";2009-12-01;156,63
"121";2010-01-01;160,47
"122";2010-02-01;161,43
"123";2010-03-01;159,92
"124";2010-04-01;154,66
"125";2010-05-01;155,77
"126";2010-06-01;160,55
"127";2010-07-01;157,16
"128";2010-08-01;164,5
"129";2010-09-01;162,62
"130";2010-10-01;155,37
"131";2010-11-01;160,06
"132";2010-12-01;164,26
"133";2011-01-01;160,83
"134";2011-02-01;164,21
"135";2011-03-01;160,29
"136";2011-04-01;159,44
"137";2011-05-01;153
"138";2011-06-01;153,81
"139";2011-07-01;152,93
"140";2011-08-01;152,71
"141";2011-09-01;154,08
"142";2011-10-01;151,91
"143";2011-11-01;155,36
"144";2011-12-01;158,17
"145";2012-01-01;158,33
"146";2012-02-01;170,18
"147";2012-03-01;164,42
"148";2012-04-01;164,99
"149";2012-05-01;163,05
"150";2012-06-01;162,35
"151";2012-07-01;160,56
"152";2012-08-01;156,3
"153";2012-09-01;158,29
"154";2012-10-01;161,38
"155";2012-11-01;159,69
"156";2012-12-01;161,81
"157";2013-01-01;160,55
"158";2013-02-01;165,85
"159";2013-03-01;159,96
"160";2013-04-01;155,62
"161";2013-05-01;145,97
"162";2013-06-01;145,04
"163";2013-07-01;136,73
"164";2013-08-01;133,04
"165";2013-09-01;136,74
"166";2013-10-01;139,24
"167";2013-11-01;138,01
"168";2013-12-01;136,57
"169";2014-01-01;131,74
"170";2014-02-01;136,39
"171";2014-03-01;125,78
"172";2014-04-01;120,25
"173";2014-05-01;109,48
"174";2014-06-01;107,37
"175";2014-07-01;109,55
"176";2014-08-01;110,54
"177";2014-09-01;118,92
"178";2014-10-01;115,82
"179";2014-11-01;115,99
"180";2014-12-01;112,95
"181";2015-01-01;112,69
"182";2015-02-01;112,89
"183";2015-03-01;106,86
"184";2015-04-01;101,56
"185";2015-05-01;91,77
"186";2015-06-01;90,58
"187";2015-07-01;84,55
"188";2015-08-01;84,66
"189";2015-09-01;85,53
"190";2015-10-01;88,77
"191";2015-11-01;85,55
"192";2015-12-01;87,17
"193";2016-01-01;89,04
"194";2016-02-01;95,23
"195";2016-03-01;89,31
"196";2016-04-01;87,68
"197";2016-05-01;90,85
"198";2016-06-01;98,05
"199";2016-07-01;97,67
"200";2016-08-01;100,05
"201";2016-09-01;106,95
"202";2016-10-01;105,98
"203";2016-11-01;110,3
"204";2016-12-01;110,73
"205";2017-01-01;102,25
"206";2017-02-01;113,8
"207";2017-03-01;109,38
"208";2017-04-01;109,01
"209";2017-05-01;103,49
"210";2017-06-01;100,06
"211";2017-07-01;104,78
"212";2017-08-01;101,48
"213";2017-09-01;99,67
"214";2017-10-01;102,81
"215";2017-11-01;103,96
"216";2017-12-01;109,46
"217";2018-01-01;116,96
"218";2018-02-01;120,57
"219";2018-03-01;115,64
"220";2018-04-01;109,94
"221";2018-05-01;113,5
"222";2018-06-01;104
"223";2018-07-01;103,48
"224";2018-08-01;104,38
"225";2018-09-01;106,79
"226";2018-10-01;107,91
"227";2018-11-01;114,5
"228";2018-12-01;127,8
"229";2019-01-01;128,64
"230";2019-02-01;139,39
"231";2019-03-01;125,53
"232";2019-04-01;121,71
"233";2019-05-01;117,01
"234";2019-06-01;107,38
"235";2019-07-01;110,92
"236";2019-08-01;114,58
"237";2019-09-01;112,19
"238";2019-10-01;111,82
"239";2019-11-01;118,64
"240";2019-12-01;121,26
"241";2020-01-01;121,27
"242";2020-02-01;131,79
"243";2020-03-01;124,58
"244";2020-04-01;111,97
"245";2020-05-01;96,82
"246";2020-06-01;100,43
"247";2020-07-01;102,84
"248";2020-08-01;102,62
"249";2020-09-01;108,36
"250";2020-10-01;107,61
"251";2020-11-01;111,65
"252";2020-12-01;111,71
"253";2021-01-01;116,09
"254";2021-02-01;116,23
"255";2021-03-01;112,9
"256";2021-04-01;104,95
"257";2021-05-01;105,9
"258";2021-06-01;107,32
"259";2021-07-01;110,98
"260";2021-08-01;111,99
"261";2021-09-01;114,66
"262";2021-10-01;109,37
"263";2021-11-01;109,35
"264";2021-12-01;112
"265";2022-01-01;108,35
"266";2022-02-01;104,05
"267";2022-03-01;105,12
"268";2022-04-01;104,35
"269";2022-05-01;105,87
"270";2022-06-01;103,6
"271";2022-07-01;105,58
"272";2022-08-01;106,76
"273";2022-09-01;111,46
"274";2022-10-01;114,23
"275";2022-11-01;116,79
"276";2022-12-01;122,84
"277";2023-01-01;125,38
"278";2023-02-01;128,78
"279";2023-03-01;127,42
"280";2023-04-01;125,1
"281";2023-05-01;122,22
"282";2023-06-01;125,27
"283";2023-07-01;124,46
